Referencia,Referencia_yyyymm,Indice
jan/1983,198301,0.0108231
fev/1983,198302,0.0102108
mar/1983,198303,0.0095697
abr/1983,198304,0.0087796
mai/1983,198305,0.0080542
jun/1983,198306,0.0074579
jul/1983,198307,0.0069176
ago/1983,198308,0.0063468
set/1983,198309,0.0058489
out/1983,198310,0.0053424
nov/1983,198311,0.0048696
dez/1983,198312,0.0044923
jan/1984,198401,0.0041749
fev/1984,198402,0.0038024
mar/1984,198403,0.0033867
abr/1984,198404,0.0030787
mai/1984,198405,0.0028259
jun/1984,198406,0.0025959
jul/1984,198407,0.002377
ago/1984,198408,0.0021552
set/1984,198409,0.0019481
out/1984,198410,0.0017633
nov/1984,198411,0.0015653
dez/1984,198412,0.0014249
jan/1985,198501,0.0012895
fev/1985,198502,0.0011454
mar/1985,198503,0.0010396
abr/1985,198504,0.0009222
mai/1985,198505,0.0008252
jun/1985,198506,0.0007497
jul/1985,198507,0.0006865
ago/1985,198508,0.000638
set/1985,198509,0.0005892
out/1985,198510,0.0005404
nov/1985,198511,0.0004957
dez/1985,198512,0.0004455
jan/1986,198601,0.0003938
fev/1986,198602,0.0003383
mar/1986,198603,0.2961103
abr/1986,198604,0.2964446
mai/1986,198605,0.2941471
jun/1986,198606,0.2900851
jul/1986,198607,0.2864459
ago/1986,198608,0.283049
set/1986,198609,0.278397
out/1986,198610,0.2737046
nov/1986,198611,0.2685718
dez/1986,198612,0.2600374
jan/1987,198701,0.2424105
fev/1987,198702,0.2075095
mar/1987,198703,0.1734827
abr/1987,198704,0.1514936
mai/1987,198705,0.125243
jun/1987,198706,0.1014591
jul/1987,198707,0.0859667
ago/1987,198708,0.083422
set/1987,198709,0.0784341
out/1987,198710,0.0742162
nov/1987,198711,0.0679779
dez/1987,198712,0.060243
jan/1988,198801,0.0527792
fev/1988,198802,0.0452995
mar/1988,198803,0.0384026
abr/1988,198804,0.0331028
mai/1988,198805,0.0277511
jun/1988,198806,0.023563
jul/1988,198807,0.019713
ago/1988,198808,0.015892
set/1988,198809,0.0131713
out/1988,198810,0.0106208
nov/1988,198811,0.0083472
dez/1988,198812,0.0065765
jan/1989,198901,5.1061864
fev/1989,198902,5.1061864
mar/1989,198903,4.9287518
abr/1989,198904,4.6457894
mai/1989,198905,4.3294784
jun/1989,198906,3.9381363
jul/1989,198907,3.1546935
ago/1989,198908,2.4499503
set/1989,198909,1.894267
out/1989,198910,1.3933436
nov/1989,198911,1.0124498
dez/1989,198912,0.7159137
jan/1990,199001,0.4662418
fev/1990,199002,0.2986637
mar/1990,199003,0.1728571
abr/1990,199004,0.1223509
mai/1990,199005,0.1223509
jun/1990,199006,0.1161049
jul/1990,199007,0.1059247
ago/1990,199008,0.095609
set/1990,199009,0.0864611
out/1990,199010,0.076616
nov/1990,199011,0.0673781
dez/1990,199012,0.0577663
jan/1991,199101,0.0483851
fev/1991,199102,0.0402501
mar/1991,199103,0.0376169
abr/1991,199104,0.0346702
mai/1991,199105,0.0318275
jun/1991,199106,0.0292024
jul/1991,199107,0.0266935
ago/1991,199108,0.0242555
set/1991,199109,0.0216668
out/1991,199110,0.0185529
nov/1991,199111,0.0154911
dez/1991,199112,0.0118687
jan/1992,199201,0.0092422
fev/1992,199202,0.0073653
mar/1992,199203,0.0058636
abr/1992,199204,0.0047181
mai/1992,199205,0.0038973
jun/1992,199206,0.003253
jul/1992,199207,0.0026874
ago/1992,199208,0.0021728
set/1992,199209,0.001763
out/1992,199210,0.0014063
nov/1992,199211,0.0011241
